frame_id,x,y,z,yaw,pitch,roll
00000000,0.016679,0.025769,0.058748,-81.679306,-10.640716,110.936531
00000001,0.025536,0.027533,0.073230,-78.661446,-8.671145,109.100876
00000002,0.035092,0.028856,0.077853,-76.880676,-8.661721,108.676811
00000003,0.034052,0.030033,0.081519,-76.569351,-7.382454,108.339500
00000004,0.040155,0.032333,0.089474,-74.859062,-6.535270,107.175262
00000005,0.052722,0.034706,0.107981,-70.788643,-6.025416,106.684753
00000006,0.069961,0.038802,0.133920,-64.757797,-5.668806,106.457962
00000007,0.093211,0.040149,0.153317,-59.394115,-5.311596,106.101669
00000008,0.116516,0.040187,0.168877,-54.374130,-5.143485,105.806419
00000009,0.141754,0.042091,0.182713,-48.870144,-5.318045,105.777641
00000010,0.166432,0.043376,0.193763,-44.258129,-4.695209,105.133186
00000011,0.200737,0.046823,0.194934,-39.835087,-6.546086,105.128082
00000012,0.238836,0.048595,0.207990,-31.584093,-5.280576,105.256927
00000013,0.288296,0.050475,0.213827,-22.773060,-4.870253,105.122414
00000014,0.341808,0.052523,0.212199,-12.764077,-4.468165,104.950951
00000015,0.395960,0.055797,0.201212,-2.474531,-4.424022,105.012428
00000016,0.435923,0.051345,0.189463,5.106070,-3.824067,105.073769
00000017,0.490578,0.051286,0.155954,16.807844,-4.365984,105.140419
00000018,0.554123,0.050686,0.091435,34.820385,-2.749669,105.807381
00000019,0.587300,0.050345,0.036762,45.663029,-1.683914,105.943497
00000020,0.594480,0.051385,0.007208,52.744034,-1.956522,106.230858
00000021,0.615884,0.046610,-0.065294,64.297493,-0.526211,106.951080
00000022,0.612701,0.050510,-0.129654,75.947853,0.999472,109.863197
00000023,0.608192,0.046581,-0.175906,84.058090,10.211560,118.477928
00000024,0.594155,0.049186,-0.221462,87.027107,138.195038,-112.996712
00000025,0.573780,0.045976,-0.260040,79.689598,165.519806,-86.220001
00000026,0.551118,0.042626,-0.294032,72.684822,170.625687,-81.152908
00000027,0.521906,0.043615,-0.323994,64.474274,170.365234,-80.093521
00000028,0.500498,0.039173,-0.350957,56.886494,173.357803,-79.374863
00000029,0.456377,0.040305,-0.378650,48.773476,173.510681,-78.935005
00000030,0.426846,0.038907,-0.396874,43.358624,174.515289,-78.609169
00000031,0.401975,0.041174,-0.405707,38.207233,174.090561,-78.613945
00000032,0.375466,0.037471,-0.410512,33.411491,173.666580,-78.442627
00000033,0.337053,0.035786,-0.420180,26.780834,174.427139,-78.273575
00000034,0.299187,0.034276,-0.424824,19.255396,174.653366,-78.439209
00000035,0.256235,0.034988,-0.420760,12.596526,174.332306,-77.959846
00000036,0.223509,0.035444,-0.420275,6.608983,175.255493,-77.734962
00000037,0.183437,0.037157,-0.406590,-1.245145,175.508789,-77.867111
00000038,0.147522,0.033700,-0.387998,-7.930008,175.493439,-77.890968
00000039,0.111152,0.034581,-0.368207,-15.065533,175.526138,-77.734505
00000040,0.064073,0.036629,-0.341901,-24.712717,175.936966,-77.967484
00000041,0.031462,0.033675,-0.308057,-33.011131,176.851593,-77.931068
00000042,0.018158,0.038954,-0.276501,-40.007229,175.971298,-77.619682
00000043,0.001219,0.037111,-0.242830,-46.856388,176.441406,-77.576767
00000044,-0.018945,0.035209,-0.203973,-53.304592,177.068634,-78.367340
00000045,-0.023691,0.034853,-0.187126,-57.089432,177.432068,-78.294495
00000046,-0.027977,0.035167,-0.167013,-60.522778,177.721054,-78.476067
00000047,-0.033716,0.036521,-0.159681,-62.450497,178.095566,-78.441513
00000048,-0.035332,0.036201,-0.149317,-64.116524,178.433746,-78.467308
00000049,-0.032003,0.032783,-0.146953,-64.211708,178.635956,-78.413521
