frame_id,x,y,z,yaw,pitch,roll
00000000,0.016679,-0.058748,0.025769,-7.767797,-169.501053,-92.991623
00000001,0.025536,-0.073230,0.027533,-10.706758,-169.218369,-93.754189
00000002,0.035092,-0.077853,0.028856,-12.417093,-169.520386,-94.268280
00000003,0.034052,-0.081519,0.030033,-12.736721,-168.563141,-94.296997
00000004,0.040155,-0.089474,0.032333,-14.450713,-168.780502,-94.568436
00000005,0.052722,-0.107981,0.034706,-18.372908,-168.415955,-95.713127
00000006,0.069961,-0.133920,0.038802,-24.140364,-167.581680,-97.608055
00000007,0.093211,-0.153317,0.040149,-29.285219,-166.770676,-99.316856
00000008,0.116515,-0.168877,0.040187,-34.087940,-165.941467,-101.045074
00000009,0.141754,-0.182713,0.042091,-39.270786,-164.755859,-103.357361
00000010,0.166432,-0.193763,0.043376,-43.738354,-163.513229,-104.998085
00000011,0.200737,-0.194934,0.046823,-47.840557,-163.664688,-107.372047
00000012,0.238836,-0.207990,0.048595,-55.270298,-157.770721,-113.171280
00000013,0.288296,-0.213827,0.050475,-62.887772,-149.949509,-121.858147
00000014,0.341808,-0.212199,0.052523,-70.436646,-134.071838,-138.714630
00000015,0.395960,-0.201212,0.055797,-74.789635,-103.569786,-170.528152
00000016,0.435923,-0.189463,0.051345,-74.103889,-75.537949,161.037857
00000017,0.490578,-0.155954,0.051286,-67.525764,-47.464294,130.848694
00000018,0.554123,-0.091435,0.050686,-52.176193,-29.122345,111.387329
00000019,0.587300,-0.036762,0.050345,-42.221100,-23.456425,105.024323
00000020,0.594480,-0.007208,0.051385,-35.538406,-22.046268,102.001778
00000021,0.615884,0.065294,0.046610,-24.510258,-19.215164,97.988251
00000022,0.612701,0.129654,0.050510,-13.200518,-19.426552,94.860970
00000023,0.608192,0.175906,0.046581,-5.220840,-18.395891,92.841110
00000024,0.594155,0.221462,0.049186,2.736491,-18.780518,91.162338
00000025,0.573779,0.260040,0.045976,10.287766,-18.322083,89.312889
00000026,0.551118,0.294032,0.042626,17.102762,-18.634272,87.254906
00000027,0.521906,0.323994,0.043615,25.118469,-20.588114,85.303474
00000028,0.500498,0.350957,0.039173,32.475094,-19.266676,83.142570
00000029,0.456377,0.378650,0.040305,40.299744,-21.064180,80.453766
00000030,0.426846,0.396874,0.038907,45.459057,-21.838814,78.186676
00000031,0.401975,0.405707,0.041174,50.382092,-23.944357,75.920113
00000032,0.375466,0.410512,0.037471,54.866417,-26.706984,73.105804
00000033,0.337053,0.420179,0.035786,60.939159,-30.307291,68.066376
00000034,0.299187,0.424824,0.034276,67.654114,-37.157310,60.156914
00000035,0.256235,0.420760,0.034988,72.642365,-50.030857,46.970554
00000036,0.223509,0.420275,0.035444,76.091759,-66.847038,28.608330
00000037,0.183437,0.406590,0.037157,77.804375,-100.262978,-5.904104
00000038,0.147522,0.387998,0.033700,75.557915,-127.249489,-33.585350
00000039,0.111152,0.368207,0.034581,70.663025,-144.564178,-51.718357
00000040,0.064073,0.341901,0.036629,62.679996,-157.048553,-65.630684
00000041,0.031462,0.308057,0.033675,55.087776,-161.720245,-72.160202
00000042,0.018158,0.276501,0.038954,48.430527,-165.176956,-75.670448
00000043,0.001219,0.242830,0.037111,41.898869,-166.758789,-78.600624
00000044,-0.018945,0.203973,0.035209,35.823299,-168.531921,-81.454117
00000045,-0.023691,0.187126,0.034853,32.142708,-168.704605,-82.519699
00000046,-0.027977,0.167013,0.035167,28.826456,-169.097610,-83.557228
00000047,-0.033716,0.159681,0.036521,26.945021,-168.915161,-84.032814
00000048,-0.035332,0.149317,0.036201,25.323544,-168.787842,-84.459190
00000049,-0.032003,0.146953,0.032783,25.225525,-168.536407,-84.457230
