frame,tx,ty,tz,qx,qy,qz,qw,yaw,pitch,roll,projection
00000257,-0.036237016,-0.03779696,-0.16655812,-0.42146468,0.5756889,0.5564235,-0.42583466,-175.68718228528095,-84.82346376761281,-73.56754526845724,
00000348,-0.018183513,-0.017459545,0.04020474,-0.43326223,0.5708073,0.5614306,-0.41382486,177.14522926646603,-91.18510164535112,-73.59439143620426,
00000490,-0.031629227,-0.014634775,0.21568726,-0.44353843,0.5716982,0.5532466,-0.41272926,175.94216310858567,-91.20748320316892,-74.54119916976859,
